SHIPNAME	FACTION	CLASS	SHIPTYPE	WEP1TYPE	WEP2TYPE	SLOT1EFF	SLOT2EFF	SLOT3EFF	HEALTH	FIREPOWER	TORPEDO	ANTIAIR	SKILL1	SKILL2	SKILL3	SKILL4	SKILL5
Bismarck	KMS	Bismarck	BB	0	2	1.3	1.8	0.9	8792	423	0	208	Wahrheit	Unwavering Strength	Will of the Iron Blood	NULL	NULL
Tirpitz	KMS	Bismarck	BB	0	2	1.3	2	0.9	8401	423	217	208	Lone Queen of the North	Magnetic Torpedoes	NULL	NULL	NULL
Colorado	USS	Colorado	BB	0	0	1.3	2	1	7456	409	0	216	Big Seven	NULL	NULL	NULL	NULL
Maryland	USS	Colorado	BB	0	0	1.25	2	1	7414	405	0	219	Big Seven	Fighting Mary	NULL	NULL	NULL
West Virginia	USS	Colorado	BB	0	0	1.3	2	1	7456	409	0	216	Big Seven	NULL	NULL	NULL	NULL
Conte Di Cavour	RN	Conte Di Cavour	BB	0	0	1.25	1.5	0.7	6831	337	146	175	Fading Memories of Glory	NULL	NULL	NULL	NULL
Giulio Cesare	RN	Conte Di Cavour	BB	0	0	1.25	1.5	0.7	7030	347	151	186	Sardegnian Coercion	Fading Memories of Glory	NULL	NULL	NULL
Friedrich der Grosse	KMS	Friedrich der Grosse	BB	0	2	1.6	2.2	1	9886	449	0	241	Symphont of Destruction	Sonata of Chaos	Rhapsody of Darkness	Siren Killer	NULL
Fusou	IJN	Fusou	BB	0	2	1.3	2	1	6916	390	0	222	Cover Fire	NULL	NULL	NULL	NULL
Yamashiro	IJN	Fusou	BB	0	2	1.3	2	0.85	7309	390	0	222	Cover Fire	NULL	NULL	NULL	NULL
Gangut	SN	Gangut	BB	0	2	1.1	2	1	6491	324	0	174	Long Live the Revolution!	Icebreaker	NULL	NULL	NULL
Gascogne	MNF	Gascogne	BB	0	2	1.8	2	0.8	7863	430	0	241	Perceptive Suppression Module	Accurate operation Protocols	Siren Killer	NULL	NULL
Gascogne (Muse)	MNF	Gascogne	BB	0	2	1.7	2	0.7	7851	429	0	237	Coeur Battant	Leader of the Band	NULL	NULL	NULL
Georgia	USS	Georgia	BB	0	2	1.65	2	1.1	8297	436	0	409	Ironsight Caliber	Heavy Barrel Buster	Siren Killer	NULL	NULL
Hyuuga	IJN	Ise	BB	0	2	1.35	1.8	0.8	7124	398	0	229	Artillery Command: Main Fleet	Cover Fire	NULL	NULL	NULL
Ise	IJN	Ise	BB	0	2	1.4	2	0.8	7214	398	0	229	Cover Fire	NULL	NULL	NULL	NULL
Izumo	IJN	Izumo	BB	0	2	1.4	2.1	0.8	8607	428	0	437	A Legend's Inheritance	Specialized Armor	Siren Killer	NULL	NULL
Suruga	IJN	Kii	BB	0	2	1.35	2	1	8229	421	213	215	Unleashed Tactics	Unyielding Shield	NULL	NULL	NULL
Duke of York	HMS	King George V	BB	0	2	1.35	2	1	7967	420	0	225	Concerto of Blood	Trepidation of Destruction	NULL	NULL	NULL
King George V	HMS	King George V	BB	0	2	1.35	2	1	7970	423	0	264	Armament Optimization	The Glory of the Never-Setting Sun	NULL	NULL	NULL
Prince of Wales	HMS	King George V	BB	0	2	1.35	2	1	7967	422	0	230	Royal Alliance	NULL	NULL	NULL	NULL
Super Gamer Kizuna Ai	KizunaAi	KizunaAI	BB	0	2	1.3	2	1	7648	409	212	199	Super Aiming Adjustments	Coercion Assistance Mode	NULL	NULL	NULL
Littorio	RN	Littorio	BB	0	2	1.3	2	1	8367	421	0	243	Rosa Bombardamento	Sardegnian Discipline	NULL	NULL	NULL
