SHIPNAME	FACTION	CLASS	SHIPTYPE	WEP1TYPE	WEP2TYPE	SLOT1EFF	SLOT2EFF	SLOT3EFF	HEALTH	FIREPOWER	TORPEDO	ANTIAIR	SKILL1	SKILL2	SKILL3	SKILL4	SKILL5
Acasta(Retrofit)	HMS	A	DD	0	0	1.15	1.5	1.1	1535	68	400	169	Death Raid	Smokescreen	Flagship Cover	All Out Assault	NULL
Amazon(Retrofit)	HMS	A	DD	0	0	1.2	1.35	1.15	1535	65	360	194	Prototype Destroyer	Practical Teaching	All Out Assault	NULL	NULL
Ardent(Retrofit)	HMS	A	DD	0	0	1.2	1.45	1.1	1535	68	400	169	Carrier Escort	Interference	Air Raid Assistance	NULL	NULL
Hanazuki	IJN	Akizuki	DD	0	0	1.05	1.35	1.35	2445	76	370	199	Aerial Support	All Out Assault	NULL	NULL	NULL
Harutsuki	IJN	Akizuki	DD	0	0	1	1.35	1.35	2445	74	363	194	Aerial Support	All Out Assault	NULL	NULL	NULL
Niizuki	IJN	Akizuki	DD	0	0	1	1.35	1.35	2445	76	370	193	Reload Order	Anti-Air Mode	All Out Assault	NULL	NULL
Suzutsuki	IJN	Akizuki	DD	0	0	1.1	1.35	1.45	2538	81	384	205	Suzutsuki, Breaking Through!	Suzutsuki, Causing Confusion!	All Out Assault	NULL	NULL
Yoizuki	IJN	Akizuki	DD	0	0	1	1.35	1.35	2445	74	363	199	Aerial Support	All Out Assault	NULL	NULL	NULL
Cooper	USS	Allen M. Summer	DD	0	0	1.25	1.35	1.3	2190	126	360	200	Black Cat Cyclone	All Out Assault	NULL	NULL	NULL
An Shan	ROC	Anshan	DD	0	0	1.55	1	1.05	2277	131	228	172	An Shan Name Ship	All Out Assault	NULL	NULL	NULL
Chang Chun	ROC	Anshan	DD	0	0	1.55	1	1.05	2277	131	228	172	Mutual Assistance	All Out Assault	NULL	NULL	NULL
Fu Shun	ROC	Anshan	DD	0	0	1.55	1	1.05	2277	128	231	174	Rezkiy Assault	All Out Assault	NULL	NULL	NULL
Tai Yuan	ROC	Anshan	DD	0	0	1.55	1	1.05	2277	128	229	174	United As One	All Out Assault	NULL	NULL	NULL
Arashio	IJN	Asashio	DD	0	0	0.75	1.5	0.75	1937	62	509	149	Conflict Prohibition	All Out Assault	NULL	NULL	NULL
Asashio	IJN	Asashio	DD	0	0	0.75	1.5	0.75	1937	62	508	149	8th Destroyer Division	Anti-Destroyer Tactics	All Out Assault	NULL	NULL
Kasumi	IJN	Asashio	DD	0	0	0.8	1.75	0.75	1999	65	526	156	Foo and Friends	Emergency Maneuvers	All Out Assault	NULL	NULL
Michishio	IJN	Asashio	DD	0	0	0.75	1.5	0.75	1964	62	509	150	Battleship Escort	All Out Assault	NULL	NULL	NULL
Ooshio	IJN	Asashio	DD	0	0	0.75	1.5	0.75	1937	62	509	150	Anti-Destroyer Tactics	All Out Assault	NULL	NULL	NULL
Beagle	HMS	B	DD	0	0	1.2	1.35	1.05	1349	65	354	150	Emergency Maneuvers	All Out Assault	NULL	NULL	NULL
Bulldog	HMS	B	DD	0	0	1.2	1.35	1.05	1349	65	354	150	Emergency Maneuvers	All Out Assault	NULL	NULL	NULL
Bailey(Retrofit)	USS	Benson	DD	0	0	1.35	1.35	1.25	2036	102	320	262	Smokescreen	Interference	All Out Assault	NULL	NULL
Benson	USS	Benson	DD	0	0	1.3	1.3	1.25	1826	84	320	172	Air Raid Assistance	All Out Assault	NULL	NULL	NULL
Hobby	USS	Benson	DD	0	0	1.3	1.3	1.25	1826	87	320	172	Little Star	All Out Assault	NULL	NULL	NULL
Kalk	USS	Benson	DD	0	0	1.3	1.3	1.25	1826	87	320	172	Wind Rider	All Out Assault	NULL	NULL	NULL
Laffey(Retrofit)	USS	Benson	DD	0	0	1.65	1.25	1.25	2145	161	342	176	Wargod of Solomon	Annihilation Mode	All Out Assault	NULL	NULL
22	Bilibili	Bilibili	DD	0	0	1.35	1.15	0.95	1427	54	204	149	Bilibili Mascot Girl - 22	All Out Assault	NULL	NULL	NULL
33	Bilibili	Bilibili	DD	0	0	1.15	1.3	0.95	1375	39	251	149	Bilibili Mascot Girl - 33	All Out Assault	NULL	NULL	NULL
Trial Bullin MKII	UNIV	Bullin	DD	0	0	1	1	1	232	23	23	23	Prototype Bulin MKII	NULL	NULL	NULL	NULL
Universal Bullin	UNIV	Bullin	DD	0	0	1	1	1	232	23	23	23	Universal Bulin	NULL	NULL	NULL	NULL
Comet(Retrofit)	HMS	C	DD	0	0	1.2	1.4	1.1	1524	68	385	165	Torpedo Command: Destroyers	Smokescreen	All Out Assault	NULL	NULL
Crescent(Retrofit)	HMS	C	DD	0	0	1.25	1.35	1.1	1524	108	350	165	Emergency Maneuvers	Smokescreen	All Out Assault	NULL	NULL
Cygnet(Retrofit)	HMS	C	DD	0	0	1.25	1.35	1.1	1524	98	350	165	Emergency Maneuvers	Smokescreen	All Out Assault	NULL	NULL
Eldridge	USS	Cannon	DD	0	0	1.15	1.3	1.25	1720	81	381	183	Operation Rainbow	All Out Assault	NULL	NULL	NULL
Echo	HMS	E	DD	0	0	1.2	1.4	1.05	1400	73	360	152	Battleship Escort	All Out Assault	NULL	NULL	NULL
Fortune(Retrofit)	HMS	F	DD	0	0	1.25	1.35	1.1	1567	107	357	169	Emergency Maneuvers	Flank Defense	All Out Assault	NULL	NULL
Foxhound(Retrofit)	HMS	F	DD	0	0	1.25	1.35	1.1	1538	106	350	165	Reload Command: Destroyers	Flank Defense	All Out Assault	NULL	NULL
Aylwin	USS	Farragut	DD	0	0	1.2	1.3	1.3	1679	81	279	182	Carrier Escort	All Out Assault	NULL	NULL	NULL
Dewey	USS	Farragut	DD	0	0	1.2	1.3	1.3	1647	74	279	185	Comrades From the Far East	All Out Assault	NULL	NULL	NULL
Aulick	USS	Fletcher	DD	0	0	1.2	1.3	1.3	1998	82	279	171	Quick Reload	All Out Assault	NULL	NULL	NULL
Bache	USS	Fletcher	DD	0	0	1.2	1.3	1.3	2095	76	283	194	Bache in The Sky	All Out Assault	NULL	NULL	NULL
Bush	USS	Fletcher	DD	0	0	1.2	1.3	1.35	2054	85	282	189	Anti-Air Vigilance	All Out Assault	NULL	NULL	NULL
Charles Ausburne	USS	Fletcher	DD	0	0	1.25	1.3	1.3	2112	87	291	178	31-Knot Burke	Full Firepower	All Out Assault	NULL	NULL
Fletcher	USS	Fletcher	DD	0	0	1.2	1.3	1.3	2077	85	283	172	Sister's Temperament	Tactical Command: Destroyers	All Out Assault	NULL	NULL
Foote	USS	Fletcher	DD	0	0	1.2	1.3	1.3	1998	82	279	171	Quick Reload	All Out Assault	NULL	NULL	NULL
Halsey Powell	USS	Fletcher	DD	0	0	1.2	1.3	1.35	2095	81	281	220	Comprehensive Defense	All Out Assault	NULL	NULL	NULL
Hazelwood	USS	Fletcher	DD	0	0	1.2	1.3	1.3	2054	85	283	172	Air Raid Assistance	All Out Assault	NULL	NULL	NULL
Jenkins	USS	Fletcher	DD	0	0	1.2	1.3	1.3	2080	85	283	172	Full Firepower	All Out Assault	NULL	NULL	NULL
Kimberly	USS	Fletcher	DD	0	0	1.2	1.3	1.3	2054	82	283	182	Anti-Air Vigilance	All Out Assault	NULL	NULL	NULL
Mullany	USS	Fletcher	DD	0	0	1.25	1.3	1.3	2115	90	291	172	Miracle Within The Flames	All Out Assault	NULL	NULL	NULL
Nicholas(Retrofit)	USS	Fletcher	DD	0	0	1.4	1.4	1.3	2280	132	356	233	The Nick	Full Firepower	Battle of Kula Gulf	All Out Assault	NULL
Radford	USS	Fletcher	DD	0	0	1.2	1.3	1.3	2054	85	283	172	Full Firepower	All Out Assault	NULL	NULL	NULL
Smalley	USS	Fletcher	DD	0	0	1.2	1.3	1.35	2095	87	283	189	Flank Defense	All Out Assault	NULL	NULL	NULL
Spence	USS	Fletcher	DD	0	0	1.2	1.3	1.3	1998	82	279	171	Quick Reload	All Out Assault	NULL	NULL	NULL
Stanly	USS	Fletcher	DD	0	0	1.2	1.3	1.35	2095	85	283	172	Anti-Air Mode	All Out Assault	NULL	NULL	NULL
Thatcher	USS	Fletcher	DD	0	0	1.2	1.3	1.3	2037	85	283	172	Full Firepower	All Out Assault	NULL	NULL	NULL
Akatsuki	IJN	Fubuki	DD	0	0	0.75	1.5	0.75	1747	60	493	150	Destroyer Division 6: Akatsuki	All Out Assault	NULL	NULL	NULL
Ayanami(Retrofit)	IJN	Fubuki	DD	0	0	0.85	1.65	0.75	1963	75	569	146	The Demon	Demon Dance	All Out Assault	NULL	NULL
Fubuki	IJN	Fubuki	DD	0	0	0.75	1.6	0.75	1798	62	509	146	Special Lead Ship	All Out Assault	NULL	NULL	NULL
Hibiki	IJN	Fubuki	DD	0	0	0.75	1.55	0.75	1798	62	524	154	Phoenix's Plumage	Destroyer Division 6: Hibiki	All Out Assault	NULL	NULL
Ikazuchi	IJN	Fubuki	DD	0	0	0.75	1.5	0.75	1747	60	493	150	Destroyer Division 6: Ikazuchi	All Out Assault	NULL	NULL	NULL
Inazuma	IJN	Fubuki	DD	0	0	0.75	1.5	0.75	1747	60	493	150	Destroyer Division 6: Inazuma	All Out Assault	NULL	NULL	NULL
Uranami	IJN	Fubuki	DD	0	0	0.75	1.6	0.75	1798	65	504	146	Anti-Destroyer Tactics	Rescue Operations	All Out Assault	NULL	NULL
Glowworm	HMS	G	DD	0	0	1.3	1.35	1.05	1412	79	370	164	Meteor Slam	Emergency Maneuvers	All Out Assault	NULL	NULL
Grenville	HMS	G	DD	0	0	1.35	1.3	1.05	1518	85	346	164	Artillery Command: Destroyers	Emergency Maneuvers	All Out Assault	NULL	NULL
Gronzy	SN	Gnevny	DD	0	0	1.55	1	1.1	2496	125	179	204	Full Firepower	Anti-Air Vigilance	All Out Assault	NULL	NULL
Craven	USS	Gridley	DD	0	0	1.15	1.35	1.25	1774	72	429	171	Double Torpedo	All Out Assault	NULL	NULL	NULL
Gridley	USS	Gridley	DD	0	0	1.15	1.35	1.25	1810	73	438	174	Torpedo Command: Destroyers	Double Torpedo	All Out Assault	NULL	NULL
Maury	USS	Gridley	DD	0	0	1.15	1.4	1.25	1809	76	448	178	Aquatic Vortex	Double Torpedo	All Out Assault	NULL	NULL
McCall	USS	Gridley	DD	0	0	1.15	1.35	1.25	1724	72	429	171	Double Torpedo	All Out Assault	NULL	NULL	NULL
Hardy	HMS	H	DD	0	0	1.3	1.35	1.05	1518	81	374	157	Ice-Free Port's Concerto	The Star of Fjord	All Out Assault	NULL	NULL
Hunter	HMS	H	DD	0	0	1.25	1.3	1.05	1370	76	356	156	Emergent Preperation	All Out Assault	NULL	NULL	NULL
Ariake(Retrofit)	IJN	Hatsuharu	DD	0	0	0.75	1.55	0.8	1938	59	518	174	Double Torpedo	Air Raid Assistance	All Out Assault	NULL	NULL
Hatsuharu(Retrofit)	IJN	Hatsuharu	DD	0	0	0.75	1.55	0.8	1938	59	518	175	Double Torpedo	Torpedo Command: Destroyers	All Out Assault	NULL	NULL
Hatsushimo	IJN	Hatsuharu	DD	0	0	0.75	1.5	0.75	1773	59	478	145	Double Torpedo	All Out Assault	NULL	NULL	NULL
