SHIPNAME	FACTION	CLASS	SHIPTYPE	WEP1TYPE	WEP2TYPE	SLOT1EFF	SLOT2EFF	SLOT3EFF	HEALTH	FIREPOWER	TORPEDO	ANTIAIR	SKILL1	SKILL2	SKILL3	SKILL4	SKILL5
Minato Aqua	Hololive	Holo (Temp)	SUB	0	0	1.25	1.25	0.85	1681	54	539	0	Shut-in Maid	Failen Angel	Promise to the Sunflower	NULL	NULL
I-19	IJN	B1	SUB	0	0	1.35	1.15	0.8	2165	59	549	0	Fatal Perforation	Slow Torpedoes	All Out Assault	NULL	NULL
I-25	IJN	B1	SUB	0	0	1.3	1.15	0.85	1946	65	514	0	Glen Assault	Destructive Departure	All Out Assault	NULL	NULL
I-26	IJN	B1	SUB	0	0	1.3	1.15	0.85	2067	61	520	0	Carrier Hunter	Extra Oxygen	All Out Assault	NULL	NULL
I-56	IJN	B3	SUB	0	0	1.15	1.15	0.85	2080	59	502	0	Slow Torpedoes	Airspace Affirmation	All Out Assault	NULL	NULL
I-58	IJN	B3	SUB	0	0	1.2	1.15	0.85	2080	59	503	0	Departing Strike	All Out Assault	NULL	NULL	NULL
Albacore	USS	Gato	SUB	0	0	1.3	1.2	0.9	1924	61	526	0	Surpriiiiiiiise!	Experienced Hunter	All Out Assault	NULL	NULL
Bluegill	USS	Gato	SUB	0	0	1.25	1.2	0.9	1692	71	499	0	Blue Hunter	Extra Oxygen	All Out Assault	NULL	NULL
Cavalla	USS	Gato	SUB	0	0	1.25	1.25	0.85	1899	65	524	0	Guardian Piscis	Double The Gato	All Out Assault	NULL	NULL
Dace	USS	Gato	SUB	0	0	1.25	1.2	0.9	1692	71	503	0	Heavy Cruiser Hunter	Extra Oxygen	All Out Assault	NULL	NULL
U-110	KMS	IXB	SUB	0	0	1.25	1.2	0.85	1463	48	499	0	Enigma	Wolf Pack Tactics	All Out Assault	NULL	NULL
U-522	KMS	IXC	SUB	0	0	1.25	1.2	0.85	1496	43	505	0	Open Ocean Support	Wolf Pack Formation	All Out Assault	NULL	NULL
I-168	IJN	Kaidai	SUB	0	0	1.3	1.15	0.8	1993	65	539	0	Turning The Tables	Slow Torpedoes	All Out Assault	NULL	NULL
Surcouf	FFNF	Surcouf	SUB	0	0	1.15	1.15	1.2	2819	139	509	0	Recon Support	Surfaced combat	All Out Assault	NULL	NULL
U-101	KMS	VIIB	SUB	0	0	1.25	1.25	0.85	1297	48	530	0	Great Shark's Bite	Wolf Pack Formation - U-101	All Out Assault	NULL	NULL
U-47	KMS	VIIB	SUB	0	0	1.25	1.25	0.85	1297	48	530	0	The Bull of Scapa Flow	Lone Wolf	All Out Assault	NULL	NULL
U-73	KMS	VIIB	SUB	0	0	1.25	1.2	0.85	1250	45	523	0	Carrier Hunter	Wolf Pack Tactics	All Out Assault	NULL	NULL
U-556	KMS	VIIC	SUB	0	0	1.25	1.2	0.85	1261	39	499	0	The Light of an Oath	Wolf Pack Tactics	All Out Assault	NULL	NULL
U-557	KMS	VIIC	SUB	0	0	1.25	1.2	0.85	1261	44	499	0	Light Cruiser Hunter	Wolf Pack Tactics	All Out Assault	NULL	NULL
U-81	KMS	VIIC	SUB	0	0	1.3	1.25	0.85	1309	50	555	0	Silent Hunter	Wolf Pack Formation - U-81	All Out Assault	NULL	NULL
I-13	IJN	AM	SUB	0	0	1.35	1.15	1.5	2657	50	514	0	Code: Hikari	Extra Oxygen	All Out Assault	NULL	NULL
