SKILLNAME	DESCRIPTION	SHIPNAMES	INJURERATIO	DMGRATIO	BUFFTOCANDAM	BUFFTOTORPDAM	BUFFTOAIRDAM	BUFFTOFIREPOWER	BUFFTOTORPEDO	BUFFTOAVIATION	BUFFTOANTIAIR	DMGTOHMS	DMGTOUSS	DMGTOIJN	DMGTOKMS	DMGTOROC	DMGTOFFNF	DMGTOMNF	DMGTOSIREN	DMGTODD	DMGTOCL	DMGTOCA	DMGTOLC	DMGTOBC	DMGTOBB	DMGTOAB	DMGTOCVL	DMGTOCV	DMGTOSUB	HEBUFF	APBUFF	INITENHANCE	MANUALENHANCE	INJBYCAN	INJBYTORP	INJBYAIR	DMGBYCAN	DMGBYTORP	DMGBYAIR	COMBO	CRITCAN	CRITTORP	CRITAIR	SALVOBONUS
2,700 Pounds of Justice	Main gun property is changed to SHS. Increases salvo damage depending on max distances Salvo traveled, dealing bonus damage up to 15% (30%).	Massachusetts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
A Legend's Inheritance	When firing main gun: 40% (70%) chance to launch a special barrage (damage is based on skill level).	Izumo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A Witch Who Never Admits Defeat	When own Health falls under 80%: increases own Firepower and Torpedo stat by up to 20 (40), based on remaining Health. When own Health falls under 30%: increases own Anti-Air by 6% (12%) for the rest of the battle.	L'Opiniatre	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA Firepower	In battle, increases own Firepower by the sum of 10% (30%) of own total Anti-Air stat (Only base stat and gear is counted).	North Carolina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accomplish Any Feat!	When this ship fires a Salvo: 45% (75%) chance to fire a special barrage; the barrage is unaffected by this ship's position in your Main Fleet.	Tosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accurate Operation Protocols	Main Gun can be fired twice per reload, and each salvo can be fired independently. All manually aimed salvoes deal 25% (40%) more damage. Every 20 seconds after battle starts: 50% (100%) chance to fire a special barrage (damage is based on skill level).	Gascogne	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0
Advanced Fire Control System	During battle, increase own critical rate by 10.0% (30.0%) and increase own accuracy against DD and CL by 4.0% (10.0%); 10% chance to reduce evasion rate for enemies hit by own main gun by 4.0% (10.0%) for 6 seconds.	Swiftsure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerial Support	When enemy planes are shot down within own AA range: increases own Firepower and Anti-Air by 5% (25%) for 8 seconds. If skill is activated again during said 8 seconds, refreshes the buff duration.	Yoizuki, Curlew, Curacoa, Harutsuki, Hanazuki	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allies of Justice	5 seconds after own airstrike finishes loading: launches an additional Level 1 (Level 10) dive bomber squadron. Can be activated twice per battle.	Jamaica	0	0	0	0	0	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
All Out Assault	Generic placement for ship barrages	Ships with All Out Assault	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
All Out Assault I	Activates All Assault I: I-class once every 15 times the Main Guns are fired (II).	Icarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
All Out Assault II	Generic placement for ship barrages	Ships with All Out Assault II (mainly Muse ships)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
All Out Assault, Open Fire!	5s after the start of the battle, and with 40% (70%) chance every 30s: launches a Lv.1 (Lv.10) special barrage (DMG based on the skill level.)	Icarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annihilation Mode	Every 20 seconds, 40% (70%) chance to increase own Reload stat by 200% for 10 seconds and release a powerful barrage, while firing a machine-gun burst of fast torpedoes.	Laffey (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APsolute Ammunition	Main gun's ammo type is changed to AP with 75/110/75 (85/120/85) modifiers. Main Gun damage is increased depending on the skill level. Starting from level 8 of this skill, each bullet has 3.5% chance to inflict Armor Break to enemies with Heavy armor.	Baltimore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armageddon Cannon	When firing (includes main gun, secondary, and torpedoes): 20% chance to increase own Firepower by 20% (40%) for 8 seconds.	York	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armament Optimization	During battle, 40% (70%) chance of triggering a barrage every 24 seconds. When equipped with Quadruple 356mm main cannon, reduces loading time of the first main salvo by 55% (75%), increases critical chance of main cannon by 10% (20%), reduces spread by 2 and enhances barrage.	King George V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armor-Piercing Hypercharge	At the start of the battle, and with a 40.0% (70.0%) chance every 20s after that: changes this ship's main gun ammo type to special HE with 90/100/110 (100/110/120) modifiers and speed 180 for 10s.	Baltimore (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsonist	Increases damage dealt with HE ammo by 5% (15%), Burn damage by 20% (50%), and chance to ignite with HE ammo by 4.5% (12%).	Atago	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Artillery Cover	Every 20 (10) seconds, provides supporting fire with 20.3 cm guns (damage based on skill level and aviation).	Lexington, Saratoga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Artillery Volley	15 seconds after the start of battle and every 20 seconds after that, 30% (60%) chance to fire a special barrage (damage based on skill level).	Abercrombie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Assault Carrier	When launching an airstrike: 15% (25%) chance to deal double damage for 10 seconds.	Ark Royal, Hermes, Hornet, Ranger (Retrofit), Victorious, Chiyoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Assault Mode	Every 20 seconds, 40% (70%) chance to increase own Torpedo stat by 30% for 5 seconds and release a powerful barrage, while launching a tight fan-spread of fast torpedos.	Javelin (Retrofit)	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Athena's Catapult	Every 12 seconds after the start of the battle, launch a special airstrike of a random choice of Sea Hornet, TBF Avengers, or Fairey Firefly. Damage depends on skill level.	Perseus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Augmented HE Ammo	Increases own HE damage dealt by 15% (35%), and lowers chance to ignite by 3%.	Saint Louis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Augmenting Mechanism: Setzer Princple	Decreases the loading time of this ship's Main Guns by 20% (40.0%) and fires an additional LV.1 (LV.10) barrage along with its primary Salvoes. Every 20s: fires a LV.1 (LV.10) special barrage (DMG is based on the skill's level).	Champagne	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ausgewogen	At the start of the battle, if this ship is in the frontmost position of your Vanguard: increase this ships Speed by 5 and EVA by 4.5% (12.0%) until the end of the battle, and decreases its DMG taken by 5% (15.0%) for 30s: if NOT in the frontmost position: increases this ship's Crit DMG by 15% (25.0%) and, every 15s: has a 40% (70.0%) chance to fire a special barrage (DMG is based on skill's level).	Mainz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0
Aviation Battleship Fleet	Reduces airstrike reload time by 5% (25%) and adds additional Lvl 1 (10) Suisei bombers for the first 2 airstrikes. If sortied with any CVs/CVLs, effect is applied to all of own airstrikes.	Ise (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aviation Preparations	Once per battle, when launching the first airstrike: perform an additional aerial machine-gun barrage (damage increases with skill level).	Fusou (Retrofit),Yamashiro (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barrage Gunnery Manual	Every 8 times Main Gun is fired: fires a special barrage. If equipped with Prototype 310mm gun, increases Main Gun efficiency by 4.5% (12%); also improves said barrage and fire it every 4 times Main Gun is fired.	Azuma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Battle Buster	Increases own Firepower by 15% (25%).	Gneisenau	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beckoning of Ice	At the start of the battle: fires a special barrage and spawns Snezhinka, a summon which fights for 20 (50)s and inflicts a 5.0% aircraft DMG taken debuff to all enemies it hits 10 times (its DMG dealt and active duration is based on the skill's level).	Tashkent (Muse)	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bellowing Gusts of Fire	Deal 5% (15%) more damage to ships that are burning; 20s after battle starts, fire a barrage that causes burning, when firing main guns, 40% (70%) chance to fire this barrage. (10s cooldown between triggering from main gun)	Algerie	0	0.15	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Best Sister	If sortied with Indianapolis, increases own Firepower, Anti-Air, and Reload by 5% (15%).	Portland	0	0	0	0	0	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Big Mamie	During battle, increases own Firepower, Anti-Air and Evasion by 1% (5%) per Eagle Union Heavy Cruiser/Battleship other than self. Only up to 3 ships can be counted toward this bonus (a maximum buff of 15%).	Massachusetts	0	0	0	0	0	0.15	0	0.15	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIG SEVEN	When firing main gun: 20% (40%) chance to fire a frontal barrage (damage increases with skill level).	Rodney, Colorado, Maryland, West Virginia, Nelson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIG SEVEN - SAKURA	When firing main gun: 20% (40%) chance to fire a frontal barrage (damage increases with skill level).	Nagato, Mutsu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilateral Accompaniment	At the start of the battle and every 30s after that: deploys 2 shields that last for 5 (15)s; the blue shield can block up to 8 enemy shells, the red shield causes DMG upon contact with an enemy up to 8 times.	Roon (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Black Cat Cyclone	Every 20s: increases this ship's FP by 5.0% (15.0%) for 10s, reveals the location of all enemy SSs for 10s, and launches an ASW seaplane airstrike. Once per battle, if this ship has the Consolidated PBY-5A Catalina equipped when its HP falls below 40.0%: launches a special seaplane airstrike. ASW and Airstrike DMG is based on the skill's level.	Cooper	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blaze Break	20% (40%) chance to activate every 20 seconds: releases a powerful barrage (damage depends on skill level) that has a low chance to set enemies on fire for 12 seconds.	Purple Heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blaze of Glory	Increases own damage against Battleships by 5% (15%). When firing main gun: 30% (60%) chance to launch a frontal Sanshikidan barrage (number of bullets based on skill level).	Kirishima	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blazing Burst Wings	When this ship fires its Main Guns: 15.0% (30.0%) chance to increase this ship's Main Gun DMG by 30.0% for 3s. (This buff has a 5s cooldown between activations.) 40.0% (70.0%) chance to fire a special barrage that burns targets hit by it for 6s. Barrage damage is based on skill level. (This barrage has a 10s cooldown between activations.)	Bremerton	0	0.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blue Spirit	When this ship launches an Airstrike: 50.0% (100%) chance to launch an additional airstrike (DMG is based on the skill's level).	Illustrious (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Body and Soul	Increases torpedo critical rate by 20% (40%), and torpedo critical damage by 65%.	Ibuki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0
Bombarda Geminio	Every 15s after the start of the battle: fires a Lv.1 (Lv.10) special barrage; if there are no enemy units within 30 units of this ship when the barrage procs: fires a separate Lv.1 (Lv.10) special barrage.	Hermione	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burn Order	Increases HE damage (applies only to Shelling damage, not Burn damage) dealt by 15% (25%), and chance to ignite by 1.2% (3.0%).	Belfast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calibrated Firing	Every 20 seconds, increases own torpedo damage by 4.5% (12%). Can be stacked up to 8 times.	Musketeer	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carrier Hunter	Increase damage dealt to CV/Ls by 5% (15.0%).	I-26, U-73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coeur Battant	Main Gun ammo is changed to Musical Note ammo, switched between red and blue notes after firing (damage depends on skill level). Also, once per battle: reduces Reload time for the first Main Gun volley by 5% (25%).	Gascogne (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cavalier of the Ether	Every 15s: 40.0% (70.0%) chance to fire a special barrage and inflict Burn for 6s to all enemies hit by it. (Barrage DMG is based on the skill's level.)	Chapayev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chevalier's Sabre	If Escort fleet consists of only Iris Libre (FFNF) and Vichya Dominion (MNF) ships, every 20 seconds: 50% chance to increase entire fleet's damage by 5% (25%) for 8 seconds. Does not stack with the same skill.	Le Mars	0	0.25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chiyoda's Domain?	Every battle, when this ship launches its first Airstrike: launches an additional seaplane airstrike; when it launches its second Airstrike and onwards: 40% (70%) chance to launch an additional torpedo bomber airstrike (DMG is based on the skill's level). If there is a Sakura Empire CVL in the same fleet as this ship: improves these airstrikes.	Chiyoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Concerto of Blood	Every 40 (20) seconds, fires a barrage towards the farthest target. Enemies hit by the barrage have their movement speed decreased by 40% for 6 seconds.	Duke of York	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conquer To Loot!	10 seconds after battle starts and every 40 (20) seconds after that: launches a torpedo barrage (damage is based on skill level).	Kaga (Battleship)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Counterattack of the Barents Sea	Increases own main gun's critical rate by 4.5% (12.0%), and critical damage by 30%.	Sheffield	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0
Courageous Shelling	Every 20 seconds: 40% (70%) chance to fire a strong barrage at enemies.	Washington	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cover Fire	Increase own Firepower by 10% (20%).	Yamashiro, Ise, Fusou, Sirius, Hyuuga	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crane's Endeavor	When launching an airstrike: permanently increases the damage of next airstrike by 8% (20%). Can be stacked 3 times.	Zuikaku	0	0.6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crippling Strike	When firing main gun: 40% (70%) chance to launch a frontal barrage (damage scales with skill level). During battle, if fleet consists of 4 or more Sakura Empire ships, decreases loading time of the first main gun salvo by 25% (45%).	Amagi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cross Combination	After every 15 (6) shots from the main gun, the next shot deals a critical hit.	Purple Heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dazzling Dawn	When firing main gun: increases own Firepower and Anti-Air by 1.5% (6%). Can be stacked up to 4 times.	Haruna	0	0	0	0	0	0.06	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Death Raid	If Acasta is the last ship alive in the Escort fleet: increase own damage dealt by 20% (50%) and increases own damage received by 8% (20%).	Acasta	0	0.5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Demon-Cutter Asura-Rakshasa	Every 20 (15) seconds, triggers a special Ashura-Rakshasa slash that has 50% chance to inflict Armor Break on hit enemies, lasting for 6 seconds. Damage is based on skill level.	Nakiri Ayam	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0
Demon's Wish	Increases the torpedo DMG this ship deals by 5.0% (15.0%). When this ship fires its torpedoes: 15.0% (30.0%) chance to launch a second wave of torpedoes.		0	0.15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Departing Strike	Increases damage dealt to Heavy Cruisers by 5% (15%). When leaving battle, fires a wave of torpedoes (damage and spread based on Skill Level).	I-58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Destiny Draw!	When Health falls under 30%, increase own Luck by 7. Every 20 seconds, activate a special skill.	Hermes (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Destroyer Division 6: Akatsuki	When paired with any of the Destroyers from Destroyer Division 6 (Akatsuki, Hibiki, Ikazuchi, Inazuma): increases own Firepower, Torpedo, and Reload by 5% (15%). This effect does not stack.	Akatsuki	0	0	0	0	0	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Destroyer Division 6: Hibiki	When sortied with Akatsuki, Ikazuchi, or Inazuma: increases this ship's FP, TRP, and RLD by 5.0% (15.0%). Effect does not stack.	Hibiki	0	0	0	0	0	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
