NAME	AVIATION	BOMBONEDMG	ONETOL	ONETOM	ONETOH	BOMBTWODMG	TWOTOL	TWOTOM	TWOTOH	TORPEDODMG	TORPTOL	TORPTOM	TORPTOH
Aichi D3A Type 99 T2	12	330	0.8	0.9	1.1	159	0.8	0.85	1	0	0	0	0
Aichi D3A Type 99 T3	25	360	0.8	0.9	1.1	173	0.8	0.85	1	0	0	0	0
Blackburn Skua T2	5	330	0.8	0.9	1.1	0	0	0	0	0	0	0	0
Blackburn Skua T3	12	360	0.8	0.9	1.1	0	0	0	0	0	0	0	0
Curtiss SB2C Helldiver T2	12	417	0.7	1.05	1.25	330	0.8	0.9	1.1	0	0	0	0
Curtiss SB2C Helldiver T3	25	456	0.7	1.05	1.25	360	0.8	0.9	1.1	0	0	0	0
Douglas BTD-1 Destroyer T2	25	393	0.75	1	1.2	0	0	0	0	0	0	0	0
Douglas BTD-1 Destroyer T3	45	429	0.75	1	1.2	0	0	0	0	0	0	0	0
Douglas SBD Dauntless T2	5	417	0.7	1.05	1.25	159	0.8	0.85	1	0	0	0	0
Douglas SBD Dauntless T3	12	456	0.7	1.5	1.25	173	0.8	0.85	1	0	0	0	0
Douglas SBD Dauntless (McClusky) T0	45	456	0.7	1.5	1.25	173	0.8	0.85	1	0	0	0	0
Fairey Barracuda (831 Squadron) T0	45	429	0.8	1.1	1.3	0	0	0	0	0	0	0	0
Fairey Firefly T0	45	402	0.8	0.95	1.15	0	0	0	0	0	0	0	0
Fairey Fulmar T2	12	159	0.8	0.85	1	0	0	0	0	0	0	0	0
Fairey Fulmar T3	25	173	0.8	0.85	1	0	0	0	0	0	0	0	0
Junkers Ju-87C T2	12	369	0.8	0.95	1.15	159	0.8	0.85	1	0	0	0	0
Junkers Ju-87C T3	25	402	0.8	0.95	1.15	173	0.8	0.85	1	0	0	0	0
Yokosuka D4Y Suisei T2	25	369	0.8	0.95	1.15	159	0.8	0.85	1	0	0	0	0
Yokosuka D4Y Suisei T3	45	402	0.8	0.95	1.15	173	0.8	0.85	1	0	0	0	0
