NAME	AVIATION	BOMBONEDMG	ONETOL	ONETOM	ONETOH	BOMBTWODMG	TWOTOL	TWOTOM	TWOTOH	TORPEDODMG	TORPTOL	TORPTOM	TORPTOH
Aichi B7A Ryuusei T1	12	0	0	0	0	0	0	0	0	150	0.8	1.1	1.3
Aichi B7A Ryuusei T2	25	0	0	0	0	0	0	0	0	240	0.8	1.1	1.3
Aichi B7A Ryuusei T3	45	0	0	0	0	0	0	0	0	260	0.8	1.1	1.3
Blackburn Firebrand T0	45	0	0	0	0	0	0	0	0	288	0.8	1.1	1.3
Douglas TBD Devastator T1	0	0	0	0	0	0	0	0	0	132	0.8	1.1	1.3
Douglas TBD Devastator T2	5	0	0	0	0	0	0	0	0	144	0.8	1.1	1.3
Douglas TBD Devastator T3	12	0	0	0	0	0	0	0	0	216	0.8	1.1	1.3
Fairey Albacore T1	5	0	0	0	0	0	0	0	0	132	0.8	1.1	1.3
Fairey Albacore T2	12	0	0	0	0	0	0	0	0	192	0.8	1.1	1.3
Fairey Albacore T3	25	0	0	0	0	0	0	0	0	288	0.8	1.1	1.3
Fairey Barracuda T1	12	0	0	0	0	0	0	0	0	175	0.8	1.1	1.3
Fairey Barracuda T2	25	0	0	0	0	0	0	0	0	256	0.8	1.1	1.3
Fairey Barracuda T3	45	0	0	0	0	0	0	0	0	288	0.8	1.1	1.3
Fairey Swordfish T1	5	0	0	0	0	0	0	0	0	132	0.8	1.1	1.3
Fairey Swordfish T2	12	0	0	0	0	0	0	0	0	192	0.8	1.1	1.3
Fairey Swordfish T3	25	0	0	0	0	0	0	0	0	288	0.8	1.1	1.3
Fairey Swordfish (818 Squadron) T0	45	0	0	0	0	0	0	0	0	264	0.8	1.1	1.3
Grumman TBF Avenger T1	5	0	0	0	0	0	0	0	0	132	0.8	1.1	1.3
Grumman TBF Avenger T2	12	0	0	0	0	0	0	0	0	192	0.8	1.1	1.3
Grumman TBF Avenger T3	25	0	0	0	0	0	0	0	0	288	0.8	1.1	1.3
Nakajima B5N Type 97 T1	0	0	0	0	0	0	0	0	0	88	0.8	1.1	1.3
Nakajima B5N Type 97 T2	5	0	0	0	0	0	0	0	0	97	0.8	1.1	1.3
Nakajima B5N Type 97 T3	12	0	0	0	0	0	0	0	0	164	0.8	1.1	1.3
Nakajima B6N Tenzan T1	5	0	0	0	0	0	0	0	0	88	0.8	1.1	1.3
Nakajima B6N Tenzan T2	12	0	0	0	0	0	0	0	0	150	0.8	1.1	1.3
Nakajima B6N Tenzan T3	25	0	0	0	0	0	0	0	0	240	0.8	1.1	1.3
Douglas TBD Devastator (VT-8) T0	45	0	0	0	0	0	0	0	0	296	0.8	1.1	1.3
Grumman TBF Avenger (VT-8) T0	45	0	0	0	0	0	0	0	0	296	0.8	1.1	1.3
